
==================== AREA: Sociabilidad ====================

--- Manada ---
ID: e159e73b-f5c4-40d2-9506-34330988b66b | 11 a 13 años | Comparto por igual con mis hermanas y hermanos las tareas que nos piden en la casa.
ID: 78d2d117-05c8-43a4-91c8-7ddb090f1c48 | 11 a 13 años | Me gusta hacer cosas con mi familia y ayudo en lo que me piden para organizarlas.
ID: afa62c83-7a6b-4bbb-b60f-59a6d414e241 | 13 a 15 años | Soy cariñoso con mi familia y acepto las decisiones que se toman en mi casa.
ID: 03ccaf4c-03c4-42a8-b311-47fef60f204c | 11 a 13 años | Me doy cuenta y puedo hablar de las cosas que me atemorizan.
ID: f172d443-a723-48ea-8701-b218eae20162 | 11 a 13 años | Me doy cuenta por qué reacciono de la manera en que a veces lo hago.
ID: 74e6c7e0-f9f6-47d3-acdb-d6df315ef123 | 13 a 15 años | Trato de dominar mis reacciones, aún en situaciones difíciles o inesperadas.
ID: 4deb9334-aee6-48e4-b480-c562929584ad | 13 a 15 años | Comparto mis sentimientos y emociones con mi patrulla.
ID: a4060c60-7ce9-425b-bf2a-76941a689937 | 11 a 13 años | Escucho las opiniones de los demás personas y si no estoy de acuerdo lo digo con respeto.
ID: 20b1ffa1-6c06-49b4-91fd-fe92628f7a19 | 11 a 13 años | Soy capaz de decir que no cuando creo que algo es incorrecto.
ID: 4ade9c82-6b0d-4a44-8bc6-2eb47a011ffb | 13 a 15 años | Digo lo que pienso con respeto hacia los demás personas.
